Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P4,Reactome_Pathways_2024,gs_ind_0,Stimuli-sensing Channels,1/101,0.3104909300170286,0.3573574854912971,4.060226505662642,4.748843312214204,ANO6
P4,Reactome_Pathways_2024,gs_ind_0,Synaptic Adhesion-Like Molecules,1/21,0.07428244681570347,0.1841620329441778,19.96384360828533,51.90360975057245,PTPRS
P4,Reactome_Pathways_2024,gs_ind_0,Synthesis of IP3 and IP4 in the Cytosol,1/26,0.09114756758275655,0.19857148651957676,16.046408513154006,38.435568598252985,PLCB1
P4,Reactome_Pathways_2024,gs_ind_0,Synthesis of Very Long-Chain Fatty acyl-CoAs,1/23,0.08106535561630931,0.19076809135520847,18.187939698492464,45.697191038775365,ACSL4
P4,Reactome_Pathways_2024,gs_ind_0,TBC RABGAPs,1/43,0.1462455860603604,0.22914986341009802,9.621814957138634,18.49763110790661,RABEP1
P4,Reactome_Pathways_2024,gs_ind_0,TCF Dependent Signaling in Response to WNT,1/161,0.4474925332274017,0.4813080898944597,2.536749166392711,2.0397884039694127,LGR4
P4,Reactome_Pathways_2024,gs_ind_0,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,1/12,0.043140826609840886,0.16215216438687058,35.59951933580948,111.89945212016866,ESR1
P4,Reactome_Pathways_2024,gs_ind_0,TGF-beta Receptor Signaling Activates SMADs,2/47,0.012930045847825955,0.1424165827096635,15.129413733474648,65.7857401005744,LTBP2;TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,TGFBR3 Expression,2/25,0.003780992539606251,0.07474167229527469,29.316880872664434,163.52278131066697,TNRC6C;TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,TGFBR3 PTM Regulation,1/11,0.03961726211805212,0.1562261167239165,38.99138549892319,125.88331156809635,TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,TGFBR3 Regulates TGF-beta Signaling,1/8,0.02896931280161029,0.1556214550730993,54.59396984924623,193.34553720447744,TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,TP53 Regulates Metabolic Genes,1/78,0.24948232449515884,0.30910228816365415,5.26967093532177,7.316238334127009,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,The NLRP3 Inflammasome,1/15,0.05363491085988955,0.1748252437952125,28.2309824987004,82.591294852792,P2RX7
P4,Reactome_Pathways_2024,gs_ind_0,The Role of Nef in HIV-1 Replication and Disease Pathogenesis,1/26,0.09114756758275655,0.19857148651957676,16.046408513154006,38.435568598252985,ELMO1
P4,Reactome_Pathways_2024,gs_ind_0,Transcriptional Regulation by E2F6,1/34,0.11750120825052357,0.20818678806213098,12.21083027075677,26.147132213032688,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Transcriptional Regulation by MECP2,1/60,0.19803474382044972,0.26425261128541255,6.868417718846333,11.122116658096216,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Transcriptional Regulation by NPAS4,1/33,0.11424883561195394,0.20671293561993362,12.587011982991882,27.305967256473732,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Transcriptional Regulation by RUNX1,4/161,0.002958017081895107,0.06415822923401458,7.997187268689859,46.56950992056531,ARID1B;ESR1;TNRC6C;CDK6
