Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P1,GO_Biological_Process_2026,gs_ind_0,CAMP Metabolic Process (GO:0046058),1/13,0.04665159224326654,0.16052351256265693,32.75035175879397,100.38140738175221,ADCY2
P1,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Homeostasis (GO:0055074),1/102,0.31302906249874485,0.3573914614834396,4.020075748199123,4.669154128547146,ASPH
P1,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Transmembrane Transport (GO:0070588),1/92,0.2872259237732201,0.3370556257698835,4.461075871159074,5.565130506335436,ASPH
P1,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Transport (GO:0006816),2/143,0.09704055972792942,0.1854302381540371,4.847715736040609,11.307908960734725,ASPH;ITPR1
P1,GO_Biological_Process_2026,gs_ind_0,Calcium-mediated Signaling (GO:0019722),2/91,0.044160597880144266,0.16052351256265693,7.6790119955761,23.95792105993816,CHRM3;PLCE1
P1,GO_Biological_Process_2026,gs_ind_0,Camera-type Eye Development (GO:0043010),1/37,0.12718755619754754,0.2077300177531699,11.205961313416397,23.107728348226125,EFEMP1
P1,GO_Biological_Process_2026,gs_ind_0,Camera-type Eye Photoreceptor Cell Differentiation (GO:0060219),1/5,0.018204501114733745,0.1600714829285777,91.0,364.55386253468845,PROM1
P1,GO_Biological_Process_2026,gs_ind_0,Canonical Wnt Signaling Pathway (GO:0060070),2/65,0.023843057614568296,0.1600714829285777,10.833566489468005,40.47704485056449,TCF7L1;WNT5B
P1,GO_Biological_Process_2026,gs_ind_0,Carbohydrate Biosynthetic Process (GO:0016051),1/27,0.09448390777737954,0.1854302381540371,15.440314781454441,36.428732206490906,FUT9
P1,GO_Biological_Process_2026,gs_ind_0,Carbohydrate Derivative Biosynthetic Process (GO:1901137),2/73,0.029562642742428556,0.1600714829285777,9.618579390152995,33.869362890844414,ST6GALNAC2;FUT9
P1,GO_Biological_Process_2026,gs_ind_0,Carbohydrate Metabolic Process (GO:0005975),1/80,0.25499301809085445,0.30727730079183635,5.136721342561866,7.01942789910666,FUT9
P1,GO_Biological_Process_2026,gs_ind_0,Carboxylic Acid Transport (GO:0046942),1/40,0.1367686379517141,0.2150506873056557,10.353730678710006,20.598380195399425,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Cardiac Muscle Cell Development (GO:0055013),1/25,0.08779905814197392,0.1803780077014192,16.70197928417598,40.630980258906256,SORBS2
P1,GO_Biological_Process_2026,gs_ind_0,Cartilage Development (GO:0051216),2/60,0.02053026038097425,0.1600714829285777,11.761681634778082,45.70419368287942,RUNX2;WNT5B
P1,GO_Biological_Process_2026,gs_ind_0,Cell Junction Organization (GO:0034330),1/76,0.24393127980932583,0.2994841226426141,5.409664215115312,7.632326099746303,NBEA
P1,GO_Biological_Process_2026,gs_ind_0,Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),1/40,0.1367686379517141,0.2150506873056557,10.353730678710006,20.598380195399425,RUNX2
P1,GO_Biological_Process_2026,gs_ind_0,Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),3/283,0.08609848552295757,0.1803780077014192,3.4409707939119705,8.438166936056604,COL4A6;PHIP;SAMD12
P1,GO_Biological_Process_2026,gs_ind_0,Cell-cell Adhesion Mediated by Cadherin (GO:0044331),1/37,0.12718755619754754,0.2077300177531699,11.205961313416397,23.107728348226125,FAT1
P1,GO_Biological_Process_2026,gs_ind_0,Cellular Component Assembly (GO:0022607),1/349,0.724882410594788,0.7279281350090517,1.160155151654975,0.37327508169345913,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Cellular Response to Acetylcholine (GO:1905145),1/25,0.08779905814197392,0.1803780077014192,16.70197928417598,40.630980258906256,CHRM3
P1,GO_Biological_Process_2026,gs_ind_0,Cellular Response to Acidic pH (GO:0071468),1/18,0.06401504258973123,0.17062745552727618,23.388801148600145,64.28732849758696,GNAQ
P1,GO_Biological_Process_2026,gs_ind_0,Cellular Response to Alcohol (GO:0097306),1/55,0.18313427347949734,0.24915991287438255,7.499930846895025,12.731400062627513,ADCY2
P1,GO_Biological_Process_2026,gs_ind_0,Cellular Response to Alkaloid (GO:0071312),1/17,0.060567584183063565,0.16702676099714067,24.80721790772042,69.5593259790493,TGM2
